w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,fc,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,14,22.92,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,14,23.30,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,14,23.55,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,14,22.92,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,14,22.92,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,14,23.55,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,28,24.83,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,28,24.83,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,28,25.46,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,28,25.46,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,28,25.46,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,28,25.46,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,60,25.46,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,60,25.46,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,60,26.74,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,60,26.10,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,60,25.46,,,,
0.40,64.26,0,0,0,0,0,0,0,0,0,45.68,60,25.46,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,14,15.28,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,14,15.92,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,14,16.55,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,14,16.55,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,14,17.19,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,14,17.68,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,28,23.00,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,28,23.00,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,28,23.50,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,28,23.00,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,28,22.50,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,28,23.00,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,60,24.00,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,60,26.00,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,60,26.00,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,60,27.00,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,60,26.50,,,,
0.45,57.83,5.50,1114.147,14.23,1.92,6.42,10,0,0,0,45.68,60,26.00,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,14,16.40,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,14,18.46,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,14,21.94,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,14,13.61,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,14,17.27,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,14,14.62,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,28,24.19,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,28,21.65,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,28,25.46,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,28,25.46,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,28,25.46,,,,
0.42,51.41,5.50,1114.147,14.23,1.92,12.85,20,0,0,0,45.68,28,24.83,,,,
