w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,fc,ft
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,14,22.92,1.446226415
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,14,23.3,1.499056604
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,14,23.55,1.575471698
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,14,22.92,1.572012579
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,14,22.92,1.420345912
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,14,23.55,1.464465409
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,28,24.83,2.348113208
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,28,24.83,2.37827044
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,28,25.46,2.406572327
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,28,25.46,2.377389937
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,28,25.46,2.295283019
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,28,25.46,2.327358491
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,60,25.46,2.358490566
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,60,25.46,2.358490566
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,60,26.74,2.358490566
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,60,26.1,3.144654088
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,60,25.46,2.704402516
0.4,64.26,0,0,0,0,0,0,0,0,0,45.68,60,25.46,2.830188679
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,14,15.28,1.364465409
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,14,15.92,0.795471698
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,14,16.55,3.137735849
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,14,16.55,2.162264151
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,14,17.19,1.561949686
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,14,17.68,3.023207547
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,28,23,3.142194969
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,28,23,2.312301887
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,28,23.5,2.528006289
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,28,23,2.968748428
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,28,22.5,3.048839623
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,28,23,3.066528302
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,60,24,3.144654088
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,60,26,3.301886792
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,60,26,3.333333333
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,60,27,3.773584906
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,60,26.5,3.144654088
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,60,26,3.176100629
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,16.4,2.601056604
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,18.46,3.287955975
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,21.94,3.148930818
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,13.61,1.041066038
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,17.27,1.538745283
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,14.62,2.642493711
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,24.19,3.048839623
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,21.65,3.066528302
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,25.46,2.406641509
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,25.46,2.465603774
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,25.46,3.778490566
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,24.83,3.564748428
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,25.85,3.560691824
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,22.03,3.427672956
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,28.01,3.341194969
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,31.58,3.459119497
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,25.46,3.332075472
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,26.23,3.490566038
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,14.5,2.029245283
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,3.2,2.085534591
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,28.59,2.266037736
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,15.06,2.297484277
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,17.54,2.328930818
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,10.83,2.085534591
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,23.17,3.428647799
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,23.81,2.995283019
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,23.68,2.023386792
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,24.06,3.72
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,23.17,3.176572327
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,23.3,1.981622642
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,25.46,3.459119497
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,28.39,3.301886792
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,34,3.355974843
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,34.63,3.333333333
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,28.27,3.372955975
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,28.39,3.333333333
